variable,dtype,na_n,na_pct,n_unique,min,p25,p50,p75,max,mean,std,cv,top,top_n,comentario
flag_undef_saldoprom_n1_t,int64,0,0.0,2,0.0,1.0,1.0,1.0,1.0,0.9064,0.2913,0.32,,,
flag_undef_saldoprom_n2_m,int64,0,0.0,2,0.0,0.0,0.0,0.0,1.0,0.0267,0.1611,6.04,,,alta dispersión
flag_undef_saldoprom_n2_h,int64,0,0.0,2,0.0,0.0,0.0,0.0,1.0,0.0359,0.186,5.18,,,alta dispersión
flag_undef_saldoprom_n2_pm,int64,0,0.0,2,0.0,1.0,1.0,1.0,1.0,0.8456,0.3613,0.43,,,
flag_undef_saldoprom_n2_t,int64,0,0.0,2,0.0,0.0,0.0,0.0,1.0,0.0147,0.1203,8.19,,,alta dispersión
flag_undef_saldoprom_n3_m,int64,0,0.0,2,0.0,1.0,1.0,1.0,1.0,0.8396,0.367,0.44,,,
flag_undef_saldoprom_n3_h,int64,0,0.0,2,0.0,1.0,1.0,1.0,1.0,0.8261,0.3791,0.46,,,
flag_undef_saldoprom_n3_pm,int64,0,0.0,2,0.0,1.0,1.0,1.0,1.0,0.992,0.0892,0.09,,,
flag_undef_saldoprom_n3_t,int64,0,0.0,2,0.0,1.0,1.0,1.0,1.0,0.8196,0.3845,0.47,,,
flag_undef_saldoprom_tradic_m,int64,0,0.0,2,0.0,0.0,1.0,1.0,1.0,0.5655,0.4957,0.88,,,
flag_undef_saldoprom_tradic_h,int64,0,0.0,2,0.0,0.0,1.0,1.0,1.0,0.5645,0.4958,0.88,,,
flag_undef_saldoprom_tradic_pm,int64,0,0.0,2,0.0,0.0,1.0,1.0,1.0,0.6965,0.4598,0.66,,,
flag_undef_saldoprom_tradic_t,int64,0,0.0,2,0.0,0.0,1.0,1.0,1.0,0.5606,0.4963,0.89,,,
flag_undef_saldoprom_total_m,int64,0,0.0,2,0.0,0.0,0.0,0.0,1.0,0.0263,0.16,6.08,,,alta dispersión
flag_undef_saldoprom_total_h,int64,0,0.0,2,0.0,0.0,0.0,0.0,1.0,0.0354,0.1849,5.22,,,alta dispersión
flag_undef_saldoprom_total_pm,int64,0,0.0,2,0.0,0.0,1.0,1.0,1.0,0.6957,0.4601,0.66,,,
flag_undef_saldoprom_total_t,int64,0,0.0,2,0.0,0.0,0.0,0.0,1.0,0.0143,0.1188,8.3,,,alta dispersión
