column,dtype,null_count,null_rate,n_unique,min,p50,max
numtar_deb_pm,bigint,0,0.0,3052,0.0,5.0,237417.0
numtar_deb_t,bigint,0,0.0,15393,0.0,433.0,11910909.0
numtar_cred_m,bigint,0,0.0,8601,0.0,91.0,7957679.0
numtar_cred_h,bigint,0,0.0,8603,0.0,122.0,1146270.0
numtar_cred_pm,bigint,0,0.0,1382,0.0,0.0,28271.0
numtar_cred_t,bigint,0,0.0,10636,0.0,215.0,8559015.0
cve_mun_int,bigint,0,0.0,2471,1001.0,20228.0,32058.0
cve_edo_int,bigint,0,0.0,32,1.0,20.0,32.0
year,bigint,0,0.0,5,2018.0,2020.0,2022.0
quarter,bigint,0,0.0,4,1.0,3.0,4.0
periodo_trimestre,text,0,0.0,17,,,
days_total,bigint,0,0.0,3,90.0,92.0,92.0
days_female,bigint,0,0.0,37,0.0,0.0,92.0
days_male,bigint,0,0.0,40,0.0,91.0,92.0
days_missing,bigint,0,0.0,41,0.0,0.0,92.0
alcaldesa,double precision,1986,0.047393,2,0.0,0.0,1.0
alcaldesa_end,double precision,1781,0.042501,2,0.0,0.0,1.0
alcaldesa_transition,bigint,0,0.0,2,0.0,0.0,1.0
alcaldesa_transition_gender,bigint,0,0.0,2,0.0,0.0,1.0
alcaldesa_excl_trans,double precision,3602,0.085956,2,0.0,0.0,1.0
alcaldesa_end_excl_trans,double precision,3545,0.084596,2,0.0,0.0,1.0
t_index,bigint,0,0.0,17,0.0,8.0,16.0
alcaldesa_l1,double precision,4299,0.102589,2,0.0,0.0,1.0
alcaldesa_l2,double precision,6610,0.157738,2,0.0,0.0,1.0
alcaldesa_end_l1,double precision,4095,0.097721,2,0.0,0.0,1.0
alcaldesa_end_l2,double precision,6408,0.152917,2,0.0,0.0,1.0
alcaldesa_excl_trans_l1,double precision,5877,0.140246,2,0.0,0.0,1.0
alcaldesa_excl_trans_l2,double precision,8185,0.195323,2,0.0,0.0,1.0
alcaldesa_end_excl_trans_l1,double precision,5820,0.138886,2,0.0,0.0,1.0
alcaldesa_end_excl_trans_l2,double precision,8128,0.193963,2,0.0,0.0,1.0
hist_mun_available,bigint,0,0.0,2,0.0,1.0,1.0
quarters_in_base,bigint,0,0.0,4,1.0,17.0,17.0
ok_panel_completo,bigint,0,0.0,2,0.0,1.0,1.0
alcaldesa_final,bigint,0,0.0,2,0.0,0.0,1.0
filled_by_manual,bigint,0,0.0,2,0.0,0.0,1.0
alcaldesa_final_l1,double precision,2471,0.058967,2,0.0,0.0,1.0
alcaldesa_final_l2,double precision,4940,0.117886,2,0.0,0.0,1.0
alcaldesa_final_f1,double precision,2471,0.058967,2,0.0,0.0,1.0
alcaldesa_final_f2,double precision,4940,0.117886,2,0.0,0.0,1.0
alcaldesa_final_l3,double precision,7409,0.176805,2,0.0,0.0,1.0
alcaldesa_final_f3,double precision,7409,0.176805,2,0.0,0.0,1.0
cve_ent,text,0,0.0,32,,,
cve_mun3,text,0,0.0,570,,,
cvegeo_mun,text,0,0.0,2471,,,
flag_undef_saldoprom_ahorro_m,bigint,0,0.0,2,0.0,1.0,1.0
flag_undef_saldoprom_ahorro_h,bigint,0,0.0,2,0.0,1.0,1.0
flag_undef_saldoprom_ahorro_pm,bigint,0,0.0,2,0.0,1.0,1.0
flag_undef_saldoprom_ahorro_t,bigint,0,0.0,2,0.0,1.0,1.0
flag_undef_saldoprom_plazo_m,bigint,0,0.0,2,0.0,1.0,1.0
flag_undef_saldoprom_plazo_h,bigint,0,0.0,2,0.0,1.0,1.0
flag_undef_saldoprom_plazo_pm,bigint,0,0.0,2,0.0,1.0,1.0
flag_undef_saldoprom_plazo_t,bigint,0,0.0,2,0.0,1.0,1.0
flag_undef_saldoprom_n1_m,bigint,0,0.0,2,0.0,1.0,1.0
flag_undef_saldoprom_n1_h,bigint,0,0.0,2,0.0,1.0,1.0
flag_undef_saldoprom_n1_pm,bigint,0,0.0,2,0.0,1.0,1.0
flag_undef_saldoprom_n1_t,bigint,0,0.0,2,0.0,1.0,1.0
flag_undef_saldoprom_n2_m,bigint,0,0.0,2,0.0,0.0,1.0
flag_undef_saldoprom_n2_h,bigint,0,0.0,2,0.0,0.0,1.0
flag_undef_saldoprom_n2_pm,bigint,0,0.0,2,0.0,1.0,1.0
flag_undef_saldoprom_n2_t,bigint,0,0.0,2,0.0,0.0,1.0
flag_undef_saldoprom_n3_m,bigint,0,0.0,2,0.0,1.0,1.0
flag_undef_saldoprom_n3_h,bigint,0,0.0,2,0.0,1.0,1.0
flag_undef_saldoprom_n3_pm,bigint,0,0.0,2,0.0,1.0,1.0
flag_undef_saldoprom_n3_t,bigint,0,0.0,2,0.0,1.0,1.0
flag_undef_saldoprom_tradic_m,bigint,0,0.0,2,0.0,1.0,1.0
flag_undef_saldoprom_tradic_h,bigint,0,0.0,2,0.0,1.0,1.0
flag_undef_saldoprom_tradic_pm,bigint,0,0.0,2,0.0,1.0,1.0
flag_undef_saldoprom_tradic_t,bigint,0,0.0,2,0.0,1.0,1.0
flag_undef_saldoprom_total_m,bigint,0,0.0,2,0.0,0.0,1.0
flag_undef_saldoprom_total_h,bigint,0,0.0,2,0.0,0.0,1.0
flag_undef_saldoprom_total_pm,bigint,0,0.0,2,0.0,1.0,1.0
flag_undef_saldoprom_total_t,bigint,0,0.0,2,0.0,0.0,1.0
ncont_ahorro_m_pc,double precision,0,0.0,2217,0.0,0.0,3515.382
ncont_ahorro_h_pc,double precision,0,0.0,2301,0.0,0.0,1817.007
ncont_ahorro_t_pc,double precision,0,0.0,2420,0.0,0.0,1860.5223
ncont_plazo_m_pc,double precision,0,0.0,16248,0.0,0.0,9231.9619
ncont_plazo_h_pc,double precision,0,0.0,15816,0.0,0.0,50999.4832
ncont_plazo_t_pc,double precision,0,0.0,16782,0.0,0.0,24214.3656
ncont_n1_m_pc,double precision,0,0.0,958,0.0,0.0,1004.5592
ncont_n1_h_pc,double precision,0,0.0,1718,0.0,0.0,22529.2219
ncont_n1_t_pc,double precision,0,0.0,1875,0.0,0.0,11016.8761
ncont_n2_m_pc,double precision,0,0.0,35206,0.0,344.8276,139240.1048
ncont_n2_h_pc,double precision,0,0.0,34681,0.0,339.213,135637.8725
ncont_n2_t_pc,double precision,0,0.0,36403,0.0,374.2119,137590.0823
ncont_n3_m_pc,double precision,0,0.0,5669,0.0,0.0,21926.8787
ncont_n3_h_pc,double precision,0,0.0,6235,0.0,0.0,51699.5094
ncont_n3_t_pc,double precision,0,0.0,6625,0.0,0.0,35793.5917
ncont_tradic_m_pc,double precision,0,0.0,17990,0.0,0.0,139286.6322
ncont_tradic_h_pc,double precision,0,0.0,17966,0.0,0.0,149279.1788
ncont_tradic_t_pc,double precision,0,0.0,18138,0.0,0.0,144541.3112
ncont_total_m_pc,double precision,0,0.0,35554,0.0,575.2561,179439.4105
ncont_total_h_pc,double precision,0,0.0,35036,0.0,553.1429,314803.5519
ncont_total_t_pc,double precision,0,0.0,36700,0.0,585.49,244974.3121
saldocont_ahorro_m_pc,double precision,0,0.0,2324,0.0,0.0,110786023.505
saldocont_ahorro_h_pc,double precision,0,0.0,2391,0.0,0.0,38138765.3759
saldocont_ahorro_t_pc,double precision,0,0.0,2608,0.0,0.0,57309559.1745
saldocont_plazo_m_pc,double precision,0,0.0,17573,0.0,0.0,4970647819.7638
saldocont_plazo_h_pc,double precision,0,0.0,17640,0.0,0.0,6439005600.0892
saldocont_plazo_t_pc,double precision,0,0.0,17980,0.0,0.0,9129421786.7479
saldocont_n1_m_pc,double precision,0,0.0,1266,0.0,0.0,1807243.2823
saldocont_n1_h_pc,double precision,0,0.0,2672,0.0,0.0,10439272.1328
saldocont_n1_t_pc,double precision,0,0.0,3018,0.0,0.0,4858769.0767
