column,dtype,null_count,null_rate,n_unique,min,p50,max
saldocont_tradic_m_pc_asinh,double precision,0,0.0,18112,0.0,0.0,22.12225277098953
saldocont_tradic_h_pc_asinh,double precision,0,0.0,18213,0.0,0.0,22.62424018709665
saldocont_tradic_t_pc_asinh,double precision,0,0.0,18367,0.0,0.0,24.291836587587945
saldocont_total_m_pc_asinh,double precision,0,0.0,40008,0.0,12.880921092315464,23.302695611204047
saldocont_total_h_pc_asinh,double precision,0,0.0,39466,0.0,13.166583452897967,23.713304227303183
saldocont_total_t_pc_asinh,double precision,0,0.0,40844,0.0,13.08270134112665,24.654490027074893
numcontcred_hip_m_pc_asinh,double precision,0,0.0,16054,0.0,2.1577426274775573,9.848383799818851
numcontcred_hip_h_pc_asinh,double precision,0,0.0,19319,0.0,3.062174567873795,10.77295698459491
numcontcred_hip_t_pc_asinh,double precision,0,0.0,21264,0.0,2.744285322972883,10.405218941731238
numtar_deb_m_pc_asinh,double precision,0,0.0,33851,0.0,6.897457448212412,15.552308900946942
numtar_deb_h_pc_asinh,double precision,0,0.0,35107,0.0,7.211017501907032,15.544880521523813
numtar_deb_t_pc_asinh,double precision,0,0.0,37153,0.0,7.1062641283901815,15.560714287271743
numtar_cred_m_pc_asinh,double precision,0,0.0,31867,0.0,6.186142073846804,13.157692420519524
numtar_cred_h_pc_asinh,double precision,0,0.0,32501,0.0,6.515715269599401,11.695125331096294
numtar_cred_t_pc_asinh,double precision,0,0.0,35617,0.0,6.369044646749255,12.604470265688875
